App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Instagram,iOS,389801252,7215772485,USA,182.0,1,2021-04-13,Ft5p4livgy,Discovery,Tired of being flooded with posts by accounts I don’t follow,,,negative,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2275742967/reply,"[""Security & Accounts""]",[],[]
Instagram,iOS,389801252,7215752893,USA,182.0,1,2021-04-13,stcgdbgbxjvnfbdu,It just kicks me out of my account and I can’t get back into it,back,,,negative,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2275742974/reply,"[""Security & Accounts""]",[],[]
Instagram,iOS,389801252,7215749283,USA,182.0,5,2021-04-13,pop snow,I love instagram it is very good guys ❤️😉,I love instagram,,,positive,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2275742992/reply,"[""Satisfied users""]",[],[]
Instagram,iOS,389801252,7215754515,"Korea, Republic Of",182.0,5,2021-04-13,yujia463,인스타,"진짜 좋은앱인데 잘못만든계정이 삭제가 안돼요ㅠㅠㅠ
삭제할 수 있게 해주세요ㅠㅠ",,,mixed,,Korean,,https://app.appbot.co/apps/1577-instagram/reviews/2275743844/reply,[],[],[]
Instagram,iOS,389801252,7215772471,Canada,182.0,5,2021-04-13,ghjfv h,Awesome🥳,It is fun and cool and i have my friends 5 stars,,,positive,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2275744804/reply,"[""Satisfied users""]",[],[]
Instagram,iOS,389801252,7215781827,Brazil,182.0,5,2021-04-13,jroliveira28,Bloqueio,Meu Instagram foi bloqueado e não consigo seguir minguem a vários dias já mandei varias mensagem para a central de ajuda e até agora nada um verdadeiro descaso,,,mixed,,Portuguese,,https://app.appbot.co/apps/1577-instagram/reviews/2275778933/reply,"[""Satisfied users"", ""Customer Support""]",[],[]
Instagram,iOS,389801252,7215773538,Brazil,182.0,1,2021-04-13,biadantaspassos,Meu Instagram não funciona direito,"Meu Instagram não funciona o reels, não funciona a nova função de dueto, toda hora da erro, da vários bugs, n sei oque faço, meu celular está atualizado, uso o iPhone 11 Pro, o app também está atualizado. O problema está no app mesmo.",,,negative,,Portuguese,,https://app.appbot.co/apps/1577-instagram/reviews/2275778954/reply,"[""Bugs"", ""Connectivity"", ""Dissatisfied users"", ""Devices""]",[],[]
Instagram,iOS,389801252,7212079287,USA,182.0,1,2021-04-12,Poop bloop,wish i could give it 0/5,"it logged me out for ""phishing"" what the f is that. and then they cant figure out how to send a text message to my phone number and also have the worst support by far. facebook buying this app was so terrible",,,negative,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2274376435/reply,"[""Feature Requests"", ""Dissatisfied users"", ""Customer Support""]",[],[]
Instagram,iOS,389801252,7212077481,USA,182.0,1,2021-04-12,juniornrp,Problem with the notificacion,I don’t receive notifications at all,,,negative,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2274376453/reply,"[""Bugs"", ""Notifications & Alerts""]",[],[]
Instagram,iOS,389801252,7212112329,Brazil,182.0,1,2021-04-12,GeisaAnne,Reels,"Até hoje não disponibilizaram minha conta para fazer reels, já tentei entrar em contato pedir soluções e até agora nada!!!",,,negative,,Portuguese,,https://app.appbot.co/apps/1577-instagram/reviews/2274377337/reply,"[""Security & Accounts"", ""Sign Up & Login""]",[],[]
Instagram,iOS,389801252,7212086977,Brazil,182.0,5,2021-04-12,Ná_2901,Problemas para fazer o login pela milésima vez,Depois de enfrentar várias vezes problemas pra fazer o login em Março advinha o que resolveu dar problema de novo pela milésima vez o login 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️😡😡😡mesmo a minha conta sendo vinculada com a minha conta do Facebook ... sempre aparece mensagem de erro e pede pra aguardar uns minutos e tentar de novo mas o erro persiste ...vocês estão de palhaçada quando vão resolver isso ????,,,mixed,,Portuguese,,https://app.appbot.co/apps/1577-instagram/reviews/2274377346/reply,"[""Bugs"", ""Frequency"", ""Satisfied users"", ""Security & Accounts"", ""Sign Up & Login""]",[],[]
Instagram,iOS,389801252,7212121745,Japan,182.0,2,2021-04-12,むー0000000,投稿した写真アーカイブ写真を一括消去したい,"系統を変えたくて写真を消すことがあるのですが、
写真を一枚一枚消すのが大変です。
一括消去できる機能がほしい。
後、他にも投稿した写真の編集をする時に
写真を追加したり、カバーを変えられる機能がしっかりほしい。今は、編集できるとしても、投稿した時のタイトル？とかタグとかしかつけられないから
不便",,,negative,,Japanese,,https://app.appbot.co/apps/1577-instagram/reviews/2274377760/reply,[],[],[]
Instagram,iOS,389801252,7212104080,Japan,182.0,1,2021-04-12,むっつり将軍,詐欺運営さんへ。,いつになったらロックしたアカウントを返してくれるんですか？そこまでしてユーザーを苦しめてて楽しいんですか？？？,,,negative,,Japanese,,https://app.appbot.co/apps/1577-instagram/reviews/2274377787/reply,[],[],[]
Instagram,iOS,389801252,7212111528,Taiwan,182.0,2,2021-04-12,jelly_zhu_512,呃⋯,"手機更新完後根本不會跳通知
害我都晚回別人訊息",,,negative,,Chinese (Traditional),,https://app.appbot.co/apps/1577-instagram/reviews/2274377919/reply,[],[],[]
Instagram,iOS,389801252,7212130100,"Korea, Republic Of",182.0,5,2021-04-12,Rosenmist,So fun,Soooooo fun,,,positive,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2274377991/reply,"[""Satisfied users""]",[],[]
Instagram,iOS,389801252,7212102939,Thailand,182.0,4,2021-04-12,kirainiec,Thank for bring back share posts,"Thank for bring back share posts 
but I wanna see all people I follow than your suggested people it's too often and quite annoying .",,,mixed,,English,,https://app.appbot.co/apps/1577-instagram/reviews/2274378022/reply,[],[],[]
Instagram,iOS,389801252,7212126484,Germany,182.0,3,2021-04-12,lollollooo,...,Eig mag ich insta sehr aber irgendwie wurde mein Konto vorübergehend gesperrt wegen pinshing oder so und ich weiß nicht wie ich wieder in meinen Account komme weil ich keine email mit einem Code bekomme,,,negative,,German,,https://app.appbot.co/apps/1577-instagram/reviews/2274378288/reply,"[""Notifications & Alerts"", ""Security & Accounts""]",[],[]
Instagram,iOS,389801252,7212120163,Germany,182.0,1,2021-04-12,Zapuk,Schwache Leistung,"Es ist erschütternd das ein so großer Konzern, der ja hinter Instagram steckt, nicht in der Lage ist eine App für Tablets zu entwickeln. 

Die Ausreden das die Entwickler genug mit der app an sich zu tun haben, ist auch unwirklich.

Sicherheit: eher nicht . Telefonnummern landen bei anderen Personen die letzter zeit sms Wellen verschicken.

Overlay : Mann hat anscheinend dringend eine Änderung vom Vorstand erwünscht da hat man einfach Die Buttons obligatorisch nach irgendwelchen Zufalls Prinzip umgestellt.

Eine App wie TikTok hat euch über Nacht die Socken ausgezogen. Ihr seid nun wie das Facebook heute für alte Menschen ist für die Generation TikTok ect.",,,negative,,German,,https://app.appbot.co/apps/1577-instagram/reviews/2274378307/reply,"[""Complexity"", ""Design & UX"", ""Location Services"", ""Security & Accounts""]",[],[]
Instagram,iOS,389801252,7212126646,Italy,182.0,1,2021-04-12,lollo1987tv,Live,"Non so per quale arcano motivo , in live, non riesco ad invitare una terza ed una quarta persona. Mi da sempre errore, che possiamo essere al massimo in 2.. l’app è aggiornata all’ultima versione , software anche.. Ottengo sempre un errore. Ho scritto all’assistenza ma ho i miei dubbi mi risponda.",,,negative,,Italian,,https://app.appbot.co/apps/1577-instagram/reviews/2274378460/reply,"[""Advertising"", ""Bugs"", ""Use cases""]",[],[]
Instagram,iOS,389801252,7212075962,Mexico,182.0,5,2021-04-12,tom_9340,Instagram,Me gusta muchísimo,,,positive,,Spanish,,https://app.appbot.co/apps/1577-instagram/reviews/2274378615/reply,"[""Satisfied users""]",[],[]
-----------------
"Only 20 reviews can be exported while on trial. Exporting is available on 'Large 10 seat + API', 'Large 10 seat', 'Large 20 seat', 'Large 15 seat', 'Large 12 seat', 'Large 12 seat + API', 'Large 15 seat + API', 'Large 20 seat + API', 'Large 30 seat', 'Large 30 seat + API', 'Large 40 seat', 'Large 40 seat + API', 'Large 50 seat', and 'Large 50 seat + API' plans. Upgrade instantly at https://appbot.co/choose_plan"
